Reason_for_Absence,Distance_from_Work,Service_Time,Age,Absenteeism_Time_in_Hours,Percent_of_Work
1,235,11,14,8,100.00%
5,235,20,13,8,100.00%
29,225,15,15,8,100.00%
29,225,15,15,8,100.00%
25,235,16,8,8,100.00%
15,291,31,12,8,100.00%
17,179,22,17,8,100.00%
18,330,16,4,8,100.00%
10,361,52,3,8,100.00%
17,179,22,17,8,100.00%
14,155,12,14,8,100.00%
16,118,15,24,8,100.00%
34,118,10,10,8,100.00%
34,118,10,10,8,100.00%
23,378,49,11,8,100.00%
12,233,51,1,8,100.00%
12,233,51,1,8,100.00%
9,228,14,16,8,100.00%
10,361,52,3,8,100.00%
28,225,26,9,8,100.00%
11,289,36,13,8,100.00%
10,361,52,3,7,87.50%
15,291,31,12,5,62.50%
15,291,31,12,5,62.50%
22,179,26,9,5,62.50%
22,179,26,9,5,62.50%
28,225,26,9,5,62.50%
34,118,10,10,5,62.50%
14,155,12,14,5,62.50%
11,289,36,13,4,50.00%
7,279,5,14,4,50.00%
20,260,50,11,4,50.00%
3,179,51,18,4,50.00%
20,260,50,11,4,50.00%
30,157,27,6,4,50.00%
1,235,11,14,4,50.00%
19,291,50,12,4,50.00%
20,260,50,11,4,50.00%
34,118,10,10,4,50.00%
3,179,51,18,4,50.00%
15,291,31,12,4,50.00%
20,260,50,11,4,50.00%
20,260,50,11,4,50.00%
20,260,50,11,4,50.00%
20,260,50,11,4,50.00%
27,184,42,7,4,50.00%
15,291,31,12,4,50.00%
14,155,12,14,4,50.00%
34,118,10,10,4,50.00%
20,260,50,11,4,50.00%
11,289,36,13,4,50.00%
15,291,31,12,4,50.00%
20,260,50,11,4,50.00%
1,235,11,14,4,50.00%
15,291,31,12,4,50.00%
15,291,31,12,4,50.00%
20,260,50,11,4,50.00%
1,235,11,14,4,50.00%
14,155,12,14,4,50.00%
36,118,13,18,4,50.00%
20,260,50,11,4,50.00%
3,179,51,18,4,50.00%
18,330,16,4,4,50.00%
13,369,17,12,4,50.00%
33,248,25,14,4,50.00%
20,260,50,11,4,50.00%
3,179,51,18,4,50.00%
3,179,51,18,4,50.00%
28,225,26,9,4,50.00%
20,260,50,11,4,50.00%
3,179,51,18,4,50.00%
28,225,26,9,4,50.00%
20,260,50,11,4,50.00%
3,179,51,18,4,50.00%
24,246,25,16,4,50.00%
34,118,10,10,4,50.00%
15,291,31,12,4,50.00%
3,179,51,18,4,50.00%
1,235,11,14,4,50.00%
3,179,51,18,4,50.00%
28,225,26,9,4,50.00%
28,225,26,9,4,50.00%
33,248,25,14,4,50.00%
10,361,52,3,4,50.00%
3,179,51,18,4,50.00%
14,155,12,14,4,50.00%
5,235,20,13,4,50.00%
34,118,10,10,4,50.00%
1,235,11,14,4,50.00%
34,118,10,10,3,37.50%
3,179,51,18,3,37.50%
28,225,26,9,3,37.50%
3,179,51,18,3,37.50%
3,179,51,18,3,37.50%
3,179,51,18,3,37.50%
34,118,10,10,3,37.50%
3,179,51,18,3,37.50%
28,225,26,9,3,37.50%
34,118,10,10,3,37.50%
28,225,26,9,3,37.50%
20,260,50,11,3,37.50%
28,225,26,9,3,37.50%
28,225,26,9,3,37.50%
28,225,26,9,3,37.50%
15,291,31,12,3,37.50%
28,225,26,9,3,37.50%
20,260,50,11,3,37.50%
11,289,36,13,3,37.50%
28,225,26,9,3,37.50%
30,157,27,6,3,37.50%
33,248,25,14,3,37.50%
3,179,51,18,3,37.50%
33,248,25,14,3,37.50%
15,291,31,12,3,37.50%
1,235,11,14,3,37.50%
30,157,27,6,3,37.50%
30,157,27,6,3,37.50%
36,118,13,18,3,37.50%
3,179,51,18,3,37.50%
15,291,31,12,3,37.50%
15,291,31,12,3,37.50%
34,118,10,10,3,37.50%
20,260,50,11,3,37.50%
20,260,50,11,3,37.50%
34,118,10,10,3,37.50%
3,179,51,18,3,37.50%
28,225,26,9,3,37.50%
1,235,11,14,3,37.50%
3,179,51,18,3,37.50%
3,179,51,18,3,37.50%
11,289,36,13,3,37.50%
20,260,50,11,3,37.50%
3,179,51,18,3,37.50%
3,179,51,18,3,37.50%
3,179,51,18,3,37.50%
3,179,51,18,3,37.50%
3,179,51,18,3,37.50%
3,179,51,18,3,37.50%
3,179,51,18,3,37.50%
3,179,51,18,3,37.50%
36,118,13,18,3,37.50%
20,260,50,11,3,37.50%
22,179,26,9,3,37.50%
20,260,50,11,3,37.50%
17,179,22,17,3,37.50%
28,225,26,9,3,37.50%
22,179,26,9,3,37.50%
34,118,10,10,3,37.50%
3,179,51,18,3,37.50%
24,246,25,16,3,37.50%
20,260,50,11,3,37.50%
34,118,10,10,3,37.50%
25,235,16,8,3,37.50%
32,289,48,29,3,37.50%
13,369,17,12,3,37.50%
3,179,51,18,3,37.50%
28,225,26,9,3,37.50%
28,225,26,9,3,37.50%
34,118,10,10,3,37.50%
28,225,26,9,3,37.50%
28,225,26,9,3,37.50%
28,225,26,9,3,37.50%
28,225,26,9,3,37.50%
28,225,26,9,3,37.50%
22,179,26,9,3,37.50%
17,179,22,17,3,37.50%
3,179,51,18,3,37.50%
3,179,51,18,3,37.50%
28,225,26,9,3,37.50%
28,225,26,9,3,37.50%
3,179,51,18,3,37.50%
3,179,51,18,3,37.50%
28,225,26,9,3,37.50%
3,179,51,18,3,37.50%
12,233,51,1,3,37.50%
25,235,16,8,3,37.50%
9,228,14,16,3,37.50%
33,248,25,14,3,37.50%
3,179,51,18,3,37.50%
22,179,26,9,3,37.50%
25,235,16,8,3,37.50%
3,179,51,18,3,37.50%
3,179,51,18,3,37.50%
33,248,25,14,3,37.50%
3,179,51,18,3,37.50%
3,179,51,18,3,37.50%
3,179,51,18,3,37.50%
3,179,51,18,3,37.50%
3,179,51,18,3,37.50%
36,118,13,18,3,37.50%
25,235,16,8,3,37.50%
29,225,15,15,3,37.50%
34,118,10,10,3,37.50%
36,118,13,18,3,37.50%
28,225,26,9,3,37.50%
22,179,26,9,3,37.50%
36,118,13,18,3,37.50%
22,179,26,9,3,37.50%
34,118,10,10,3,37.50%
34,118,10,10,3,37.50%
12,233,51,1,3,37.50%
3,179,51,18,2,25.00%
11,289,36,13,2,25.00%
3,179,51,18,2,25.00%
3,179,51,18,2,25.00%
33,248,25,14,2,25.00%
3,179,51,18,2,25.00%
3,179,51,18,2,25.00%
27,184,42,7,2,25.00%
14,155,12,14,2,25.00%
28,225,26,9,2,25.00%
34,118,10,10,2,25.00%
28,225,26,9,2,25.00%
33,248,25,14,2,25.00%
28,225,26,9,2,25.00%
36,118,13,18,2,25.00%
28,225,26,9,2,25.00%
28,225,26,9,2,25.00%
34,118,10,10,2,25.00%
28,225,26,9,2,25.00%
28,225,26,9,2,25.00%
27,184,42,7,2,25.00%
28,225,26,9,2,25.00%
34,118,10,10,2,25.00%
28,225,26,9,2,25.00%
34,118,10,10,2,25.00%
34,118,10,10,2,25.00%
34,118,10,10,2,25.00%
34,118,10,10,2,25.00%
34,118,10,10,2,25.00%
34,118,10,10,2,25.00%
34,118,10,10,2,25.00%
27,184,42,7,2,25.00%
34,118,10,10,2,25.00%
14,155,12,14,2,25.00%
20,260,50,11,2,25.00%
28,225,26,9,2,25.00%
28,225,26,9,2,25.00%
19,291,50,12,2,25.00%
28,225,26,9,2,25.00%
28,225,26,9,2,25.00%
28,225,26,9,2,25.00%
14,155,12,14,2,25.00%
14,155,12,14,2,25.00%
3,179,51,18,2,25.00%
32,289,48,29,2,25.00%
28,225,26,9,2,25.00%
14,155,12,14,2,25.00%
26,300,26,13,2,25.00%
33,248,25,14,2,25.00%
5,235,20,13,2,25.00%
5,235,20,13,2,25.00%
33,248,25,14,2,25.00%
1,235,11,14,2,25.00%
3,179,51,18,2,25.00%
1,235,11,14,2,25.00%
30,157,27,6,2,25.00%
14,155,12,14,2,25.00%
34,118,10,10,2,25.00%
3,179,51,18,2,25.00%
24,246,25,16,2,25.00%
15,291,31,12,2,25.00%
24,246,25,16,2,25.00%
3,179,51,18,2,25.00%
36,118,13,18,2,25.00%
24,246,25,16,2,25.00%
34,118,10,10,2,25.00%
33,248,25,14,2,25.00%
17,179,22,17,2,25.00%
22,179,26,9,2,25.00%
34,118,10,10,2,25.00%
3,179,51,18,2,25.00%
28,225,26,9,2,25.00%
36,118,13,18,2,25.00%
22,179,26,9,2,25.00%
24,246,25,16,2,25.00%
22,179,26,9,2,25.00%
24,246,25,16,2,25.00%
24,246,25,16,2,25.00%
7,279,5,14,2,25.00%
15,291,31,12,2,25.00%
14,155,12,14,2,25.00%
15,291,31,12,2,25.00%
22,179,26,9,2,25.00%
15,291,31,12,2,25.00%
34,118,10,10,2,25.00%
32,289,48,29,2,25.00%
28,225,26,9,2,25.00%
15,291,31,12,2,25.00%
34,118,10,10,2,25.00%
28,225,26,9,2,25.00%
28,225,26,9,2,25.00%
10,361,52,3,2,25.00%
17,179,22,17,2,25.00%
28,225,26,9,2,25.00%
28,225,26,9,2,25.00%
17,179,22,17,2,25.00%
17,179,22,17,2,25.00%
17,179,22,17,2,25.00%
22,179,26,9,2,25.00%
22,179,26,9,2,25.00%
3,179,51,18,2,25.00%
3,179,51,18,2,25.00%
3,179,51,18,2,25.00%
22,179,26,9,2,25.00%
29,225,15,15,2,25.00%
3,179,51,18,2,25.00%
12,233,51,1,2,25.00%
3,179,51,18,2,25.00%
22,179,26,9,2,25.00%
17,179,22,17,2,25.00%
22,179,26,9,2,25.00%
3,179,51,18,2,25.00%
3,179,51,18,2,25.00%
3,179,51,18,2,25.00%
28,225,26,9,2,25.00%
3,179,51,18,2,25.00%
33,248,25,14,2,25.00%
28,225,26,9,2,25.00%
3,179,51,18,2,25.00%
3,179,51,18,2,25.00%
25,235,16,8,2,25.00%
3,179,51,18,2,25.00%
33,248,25,14,2,25.00%
3,179,51,18,2,25.00%
28,225,26,9,2,25.00%
28,225,26,9,2,25.00%
3,179,51,18,2,25.00%
22,179,26,9,2,25.00%
33,248,25,14,2,25.00%
3,179,51,18,2,25.00%
9,228,14,16,2,25.00%
3,179,51,18,2,25.00%
22,179,26,9,2,25.00%
22,179,26,9,2,25.00%
22,179,26,9,2,25.00%
17,179,22,17,2,25.00%
10,361,52,3,2,25.00%
34,118,10,10,2,25.00%
22,179,26,9,2,25.00%
22,179,26,9,2,25.00%
36,118,13,18,2,25.00%
22,179,26,9,2,25.00%
25,235,16,8,2,25.00%
15,291,31,12,2,25.00%
22,179,26,9,2,25.00%
36,118,13,18,2,25.00%
22,179,26,9,2,25.00%
25,235,16,8,2,25.00%
15,291,31,12,2,25.00%
22,179,26,9,2,25.00%
14,155,12,14,2,25.00%
22,179,26,9,2,25.00%
22,179,26,9,2,25.00%
15,291,31,12,2,25.00%
34,118,10,10,2,25.00%
12,233,51,1,2,25.00%
34,118,10,10,2,25.00%
3,179,51,18,1,12.50%
3,179,51,18,1,12.50%
11,289,36,13,1,12.50%
10,361,52,3,1,12.50%
33,248,25,14,1,12.50%
22,179,26,9,1,12.50%
10,361,52,3,1,12.50%
3,179,51,18,1,12.50%
28,225,26,9,1,12.50%
28,225,26,9,1,12.50%
33,248,25,14,1,12.50%
33,248,25,14,1,12.50%
28,225,26,9,1,12.50%
34,118,10,10,1,12.50%
34,118,10,10,1,12.50%
28,225,26,9,1,12.50%
28,225,26,9,1,12.50%
27,184,42,7,1,12.50%
22,179,26,9,1,12.50%
18,330,16,4,1,12.50%
28,225,26,9,1,12.50%
28,225,26,9,1,12.50%
22,179,26,9,1,12.50%
28,225,26,9,1,12.50%
15,291,31,12,1,12.50%
28,225,26,9,1,12.50%
14,155,12,14,1,12.50%
14,155,12,14,1,12.50%
36,118,13,18,1,12.50%
15,291,31,12,1,12.50%
14,155,12,14,1,12.50%
3,179,51,18,1,12.50%
3,179,51,18,1,12.50%
36,118,13,18,1,12.50%
11,289,36,13,1,12.50%
26,300,26,13,1,12.50%
33,248,25,14,1,12.50%
22,179,26,9,1,12.50%
1,235,11,14,1,12.50%
36,118,13,18,1,12.50%
3,179,51,18,1,12.50%
36,118,13,18,1,12.50%
3,179,51,18,1,12.50%
36,118,13,18,1,12.50%
36,118,13,18,1,12.50%
36,118,13,18,1,12.50%
15,291,31,12,1,12.50%
1,235,11,14,1,12.50%
3,179,51,18,1,12.50%
3,179,51,18,1,12.50%
3,179,51,18,1,12.50%
36,118,13,18,1,12.50%
3,179,51,18,1,12.50%
3,179,51,18,1,12.50%
22,179,26,9,1,12.50%
3,179,51,18,1,12.50%
1,235,11,14,1,12.50%
3,179,51,18,1,12.50%
3,179,51,18,1,12.50%
28,225,26,9,1,12.50%
36,118,13,18,1,12.50%
10,361,52,3,1,12.50%
34,118,10,10,1,12.50%
18,330,16,4,1,12.50%
2,235,29,12,1,12.50%
3,179,51,18,1,12.50%
36,118,13,18,1,12.50%
15,291,31,12,1,12.50%
17,179,22,17,1,12.50%
24,246,25,16,1,12.50%
24,246,25,16,1,12.50%
24,246,25,16,1,12.50%
33,248,25,14,1,12.50%
28,225,26,9,1,12.50%
32,289,48,29,1,12.50%
15,291,31,12,1,12.50%
9,228,14,16,1,12.50%
15,291,31,12,1,12.50%
28,225,26,9,1,12.50%
3,179,51,18,1,12.50%
3,179,51,18,1,12.50%
3,179,51,18,1,12.50%
15,291,31,12,1,12.50%
22,179,26,9,1,12.50%
22,179,26,9,1,12.50%
34,118,10,10,1,12.50%
17,179,22,17,1,12.50%
28,225,26,9,1,12.50%
36,118,13,18,0,0.00%
20,260,50,11,0,0.00%
29,225,26,9,0,0.00%
11,289,36,13,0,0.00%
36,118,13,18,0,0.00%
13,369,17,12,0,0.00%
36,118,13,18,0,0.00%
34,118,10,10,0,0.00%
2,235,29,12,0,0.00%
7,279,5,14,0,0.00%
18,330,16,4,0,0.00%
23,378,49,11,0,0.00%
31,388,15,9,0,0.00%
20,260,50,11,0,0.00%
5,235,20,13,0,0.00%
8,231,35,14,0,0.00%
19,291,50,12,0,0.00%
5,235,20,13,0,0.00%
36,118,13,18,0,0.00%
33,248,25,14,0,0.00%
5,235,20,13,0,0.00%
5,235,20,13,0,0.00%
20,260,50,11,0,0.00%
15,291,31,12,0,0.00%
30,157,27,6,0,0.00%
18,330,16,4,0,0.00%
23,378,49,11,0,0.00%
7,279,5,14,0,0.00%
13,369,17,12,0,0.00%
1,235,11,14,0,0.00%
24,246,25,16,0,0.00%
36,118,13,18,0,0.00%
3,179,51,18,0,0.00%
28,225,26,9,0,0.00%
15,291,31,12,0,0.00%
11,289,36,13,0,0.00%
5,235,20,13,0,0.00%
36,118,13,18,0,0.00%
23,378,49,11,0,0.00%
2,235,29,12,0,0.00%
21,268,11,8,0,0.00%
4,118,14,13,0,0.00%
8,231,35,14,0,0.00%
35,179,45,14,0,0.00%
